BLOCK_COUNT,,
18,,
FILENAME,BLOCK_TYPE,HP
graphics/EditorObjects/WoodSquareBlock1.png,BlockWood,40
graphics/EditorObjects/WoodSquareBlock2.png,BlockWood,40
graphics/EditorObjects/WoodSquareBlock3.png,BlockWood,40
graphics/EditorObjects/WoodSquareBlock4.png,BlockWood,40
graphics/EditorObjects/WoodStick1.png,BlockWood,40
graphics/EditorObjects/WoodStick2.png,BlockWood,40
graphics/EditorObjects/StoneSquareBlock1.png,BlockStone,80
graphics/EditorObjects/StoneSquareBlock2.png,BlockStone,80
graphics/EditorObjects/StoneSquareBlock3.png,BlockStone,80
graphics/EditorObjects/StoneSquareBlock4.png,BlockStone,80
graphics/EditorObjects/StoneStick1.png,BlockStone,80
graphics/EditorObjects/StoneStick2.png,BlockStone,80
graphics/EditorObjects/GlassSquareBlock1.png,BlockGlass,10
graphics/EditorObjects/GlassSquareBlock2.png,BlockGlass,10
graphics/EditorObjects/GlassSquareBlock3.png,BlockGlass,10
graphics/EditorObjects/GlassSquareBlock4.png,BlockGlass,10
graphics/EditorObjects/GlassStick1.png,BlockGlass,10
graphics/EditorObjects/GlassStick2.png,BlockGlass,10
